CONCEPT_A	CONCEPT_B	OSM_URI_A	OSM_URI_B	QUESTION	VECTOR_MEASURE	TERM_MEASURE	CORPUS	INCLUDED_POS	PAIRS_AB	PAIRS_BA	HUMAN_SIM	MACHINE_SIM_AB	MACHINE_SIM_BA	MACHINE_SIM
sports arena	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dsports_centre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	hso	Irish Indep	JJ	0	0	0.909090909	0	0	0
ball park	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpitch	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	hso	Irish Indep	JJ	4	1	0.818181818	0.029009231	0.125	0.077004616
athletic field	stadium	http://wiki.openstreetmap.org/wiki/Tag:sports%3Dathletics	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	hso	Irish Indep	JJ	10	19	0.727272727	0	0	0
tennis court	stadium	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dtennis	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	hso	Irish Indep	JJ	0	0	0.636363636	0	0	0
theater	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtheatre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	hso	Irish Indep	JJ	0	0	0.545454545	0	0	0
commons	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dcommon	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	hso	Irish Indep	JJ	0	0	0.181818182	0	0	0
museum	stadium	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dmuseum	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	hso	Irish Indep	JJ	1	1	0.454545455	0	0	0
building	stadium	http://wiki.openstreetmap.org/wiki/Key:building	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	hso	Irish Indep	JJ	9	19	0.363636364	0	0	0
library	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dlibrary	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	hso	Irish Indep	JJ	1	1	0.272727273	0	0	0
house	stadium	http://wiki.openstreetmap.org/wiki/Tag:building%3Dhouse	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	hso	Irish Indep	JJ	0	0	0.090909091	0	0	0
sports arena	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dsports_centre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	jcn	Irish Indep	JJ	0	0	0.909090909	0	0	0
ball park	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpitch	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	jcn	Irish Indep	JJ	4	1	0.818181818	0.064186331	0.072899314	0.068542822
athletic field	stadium	http://wiki.openstreetmap.org/wiki/Tag:sports%3Dathletics	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	jcn	Irish Indep	JJ	10	19	0.727272727	0	0	0
tennis court	stadium	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dtennis	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	jcn	Irish Indep	JJ	0	0	0.636363636	0	0	0
theater	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtheatre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	jcn	Irish Indep	JJ	0	0	0.545454545	0	0	0
