GROUP	ALGO	K	C	LAMBDA	SPEARMAN_CORR	SPEARMAN_P	CONF_INT_LOWER	CONF_INT_UPPER
QB4		9	0.9	0.5	0.952380952	0.0002604	0.807980748	0.988859991
QB4		5	0.9	0.6	0.952380952	0.0002604	0.807980748	0.988859991
QB4		7	0.9	0.6	0.952380952	0.0002604	0.807980748	0.988859991
QB4		8	0.9	0.6	0.952380952	0.0002604	0.807980748	0.988859991
QB4		9	0.9	0.6	0.952380952	0.0002604	0.807980748	0.988859991
QB4		10	0.9	0.6	0.952380952	0.0002604	0.807980748	0.988859991
QB4		5	0.9	0.7	0.952380952	0.0002604	0.807980748	0.988859991
QB4		6	0.9	0.7	0.952380952	0.0002604	0.807980748	0.988859991
QB4		7	0.9	0.7	0.952380952	0.0002604	0.807980748	0.988859991
QB4		8	0.9	0.7	0.952380952	0.0002604	0.807980748	0.988859991
QB4		9	0.9	0.7	0.952380952	0.0002604	0.807980748	0.988859991
QB4		10	0.9	0.7	0.952380952	0.0002604	0.807980748	0.988859991
QB4		5	0.7	0.8	0.952380952	0.0002604	0.807980748	0.988859991
QB4		6	0.7	0.8	0.952380952	0.0002604	0.807980748	0.988859991
QB4		7	0.7	0.8	0.952380952	0.0002604	0.807980748	0.988859991
QB4		8	0.7	0.8	0.952380952	0.0002604	0.807980748	0.988859991
QB4		9	0.7	0.8	0.952380952	0.0002604	0.807980748	0.988859991
QB4		10	0.7	0.8	0.952380952	0.0002604	0.807980748	0.988859991
QB4		3	0.9	0.8	0.952380952	0.0002604	0.807980748	0.988859991
QB4		5	0.9	0.8	0.952380952	0.0002604	0.807980748	0.988859991
QB4		6	0.9	0.8	0.952380952	0.0002604	0.807980748	0.988859991
QB4		7	0.9	0.8	0.952380952	0.0002604	0.807980748	0.988859991
QB4		8	0.9	0.8	0.952380952	0.0002604	0.807980748	0.988859991
QB4		9	0.9	0.8	0.952380952	0.0002604	0.807980748	0.988859991
QB4		10	0.9	0.8	0.952380952	0.0002604	0.807980748	0.988859991
QB4		3	0.9	0.9	0.952380952	0.0002604	0.807980748	0.988859991
QB4		4	0.9	0.9	0.952380952	0.0002604	0.807980748	0.988859991
QB4		5	0.9	0.9	0.952380952	0.0002604	0.807980748	0.988859991
QB4		6	0.9	0.9	0.952380952	0.0002604	0.807980748	0.988859991
QB4		7	0.9	0.9	0.952380952	0.0002604	0.807980748	0.988859991
QB4		8	0.9	0.9	0.952380952	0.0002604	0.807980748	0.988859991
QB4		9	0.9	0.9	0.952380952	0.0002604	0.807980748	0.988859991
QB4		10	0.9	0.9	0.952380952	0.0002604	0.807980748	0.988859991
QA4		4	0.7	1	0.952380952	0.0002604	0.807980748	0.988859991
QA4		5	0.7	1	0.952380952	0.0002604	0.807980748	0.988859991
QA4		6	0.7	1	0.952380952	0.0002604	0.807980748	0.988859991
QA4		7	0.7	1	0.952380952	0.0002604	0.807980748	0.988859991
QA4		8	0.7	1	0.952380952	0.0002604	0.807980748	0.988859991
