ALGO	QUESTION	K	C	L	W_MEAN_RHO	CONF_INT_GAP	RHO_LOWER	RHO_UPPER	ST_DEV	ST_ERR	Z_SCORE	COMB_P	RHO_RANGE
	ALL	0	0.1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
	ALL	1	0.1	0	0.552138878	0.09037837	0.461760509	0.642517248	0.103108254	0.046111413	11.97401772	4.86E-33	0.429 - 0.713
	ALL	2	0.1	0	0.604069793	0.066949064	0.537120729	0.671018857	0.076378907	0.034157686	17.68474012	5.50E-70	0.5 - 0.729
	ALL	3	0.1	0	0.604069793	0.066949064	0.537120729	0.671018857	0.076378907	0.034157686	17.68474012	5.50E-70	0.5 - 0.729
	ALL	4	0.1	0	0.604069793	0.066949064	0.537120729	0.671018857	0.076378907	0.034157686	17.68474012	5.50E-70	0.5 - 0.729
	ALL	5	0.1	0	0.604069793	0.066949064	0.537120729	0.671018857	0.076378907	0.034157686	17.68474012	5.50E-70	0.5 - 0.729
	ALL	6	0.1	0	0.604069793	0.066949064	0.537120729	0.671018857	0.076378907	0.034157686	17.68474012	5.50E-70	0.5 - 0.729
	ALL	7	0.1	0	0.604069793	0.066949064	0.537120729	0.671018857	0.076378907	0.034157686	17.68474012	5.50E-70	0.5 - 0.729
	ALL	8	0.1	0	0.604069793	0.066949064	0.537120729	0.671018857	0.076378907	0.034157686	17.68474012	5.50E-70	0.5 - 0.729
	ALL	9	0.1	0	0.604069793	0.066949064	0.537120729	0.671018857	0.076378907	0.034157686	17.68474012	5.50E-70	0.5 - 0.729
rvs-simrank	ALL	10	0.1	0	0.604069793	0.066949064	0.537120729	0.671018857	0.076378907	0.034157686	17.68474012	5.50E-70	0.5 - 0.729
	ALL	0	0.3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
	ALL	1	0.3	0	0.555131628	0.09096722	0.464164408	0.646098848	0.103780045	0.046411847	11.96098979	5.69E-33	0.429 - 0.713
	ALL	2	0.3	0	0.582905772	0.105649643	0.477256129	0.688555415	0.120530501	0.053902879	10.81400074	2.95E-27	0.357 - 0.729
	ALL	3	0.3	0	0.582905772	0.105649643	0.477256129	0.688555415	0.120530501	0.053902879	10.81400074	2.95E-27	0.357 - 0.729
