PAIR_ID	TERM_A	TERM_B	RELATEDNESS	SIMILARITY	RELATEDNESS_AGREEMENT	SIMILARITY_AGREEMENT	OSM_KEY_A	OSM_VALUE_A	OSM_KEY_B	OSM_VALUE_B	OSM_URI_A	OSM_URI_B	WORDNET_A	WORDNET_B
1	administrative office	town hall	0.7375	0.6209	0.526	0.372	office	administrative	amenity	townhall	http://wiki.openstreetmap.org/wiki/Tag:office%3Dadministrative	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtownhall	"office#n#1,administration#n#2"	town hall#n#1
2	mountain hut	"hilltop, mountaintop"	0.7089	0.4897	0.451	0.233	tourism	basic_hut	natural	peak	http://wiki.openstreetmap.org/wiki/Proposed_features/Basic_hut	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dpeak	hut#n#2	peak#n#4
3	arts centre	bureau de change/currency exchange	0.1406	0.1612	0.748	0.654	amenity	arts_centre	amenity	bureau_de_change	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Darts_centre	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbureau_de_change	"art#n#1,center#n#3"	bureau de change#n#1
4	art shop	art gallery	0.784	0.748	0.575	0.604	shop	art	tourism	gallery	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dart	http://wiki.openstreetmap.org/wiki/Proposed_features/Art_gallery	"art#n#1,shop#n#1"	art gallery#n#1
5	barracks	shooting range	0.5759	0.5145	0.419	0.449	military	barracks	sport	shooting	http://wiki.openstreetmap.org/wiki/Tag:military%3Dbarracks	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dshooting	barrack#n#1	shooting range#n#1
6	ambulance station	city	0.3892	0.1542	0.426	0.593	emergency	ambulance_station	place	city	http://wiki.openstreetmap.org/wiki/Tag:emergency%3Dambulance_station	http://wiki.openstreetmap.org/wiki/Tag:place%3Dcity	"ambulance#n#1,station#n#1"	city#n#1
7	basketball court	volleyball facility	0.7531	0.7807	0.52	0.624	sport	basketball	sport	volleyball	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dbasketball	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dvolleyball	basketball court#n#1	volleyball#n#1
8	bay	"body of water (lake, pond)"	0.7312	0.7623	0.454	0.553	natural	bay	natural	water	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dbay	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	bay#n#1	water#n#2
9	beauty parlour	fire station	0.0737	0.0943	0.858	0.798	shop	beauty	amenity	fire_station	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dbeauty	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfire_station	beauty_parlor#n#1	fire station#n#1
10	canal	dock	0.713	0.5943	0.603	0.364	waterway	canal	waterway	dock	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Dcanal	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Ddock	canal#n#3	dock#n#3
