TERM_ID	TERM_LABEL	OSM_KEY	OSM_VALUE	OSM_TERM_URI	WORDNET_3_SYNSET
1	academic bookstore	books	academic	http://wiki.openstreetmap.org/wiki/Tag:books%3Dacademic	"academic#a#1,bookshop#n#1"
2	administrative office	office	administrative	http://wiki.openstreetmap.org/wiki/Tag:office%3Dadministrative	"office#n#1,administration#n#2"
3	agricultural field	landuse	field	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dfield	field#n#1
4	ambulance station	emergency	ambulance_station	http://wiki.openstreetmap.org/wiki/Tag:emergency%3Dambulance_station	"emergency#n#1,ambulance#n#1,station#n#1"
5	antiques furniture shop	furniture	antiques	http://wiki.openstreetmap.org/wiki/Tag:furniture%3Dantiques	"shop#n#1,antique#n#2"
6	aqueduct	bridge	aqueduct	http://wiki.openstreetmap.org/wiki/Proposed_features/aqueduct	"bridge#n#1,aqueduct#n#1"
7	art gallery	tourism	gallery	http://wiki.openstreetmap.org/wiki/Proposed_features/Art_gallery	"art gallery#n#1,tourism#n#1"
8	art shop	shop	art	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dart	"art#n#1,shop#n#1"
9	arts centre	amenity	arts_centre	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Darts_centre	"art#n#1,center#n#3,amenity#n#1"
10	athletics track	sport	athletics	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dathletics	athletic field#n#1
11	barracks	military	barracks	http://wiki.openstreetmap.org/wiki/Tag:military%3Dbarracks	"military#n#1,barrack#n#1"
12	basketball court	sport	basketball	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dbasketball	"basketball court#n#1,basketball#n#1"
13	bay	natural	bay	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dbay	"bay#n#1,nature#n#3"
14	beauty parlour	shop	beauty	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dbeauty	"beauty_parlor#n#1,shop#n#1"
15	bed and breakfast	tourism	bed_and_breakfast	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dguest_house	"bed and breakfast#n#1,tourism#n#1"
16	beverages shop	shop	beverages	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dbeverages	"beverage#n#1,shop#n#1"
17	"body of water (lake, pond)"	natural	water	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	"water#n#2,nature#n#3"
18	bureau de change/currency exchange	amenity	bureau_de_change	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbureau_de_change	"bureau de change#n#1,amenity#n#1"
19	canal	waterway	canal	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Dcanal	"canal#n#3,waterway#n#1"
20	canoe spot	sport	canoe	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dcanoe	"canoe#n#1,sport#n#1"
21	car park	amenity	parking	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dparking	"parking area#n#1,car#n#1"
22	car store/shop	shop	car	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dcar	"car dealer#n#1,shop#n#1"
23	church	building	church	http://wiki.openstreetmap.org/wiki/Tag:building%3Dchurch	"church#n#2,building#n#1"
24	cinema	amenity	cinema	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcinema	"cinema#n#2,amenity#n#1"
25	city	place	city	http://wiki.openstreetmap.org/wiki/Tag:place%3Dcity	"city#n#1,place#n#1"
26	city suburb	place	suburb	http://wiki.openstreetmap.org/wiki/Tag:place%3Dsuburb	"suburb#n#1,place#n#1"
27	city walls	barrier	city_wall	http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dcity_wall	"wall#n#8,barrier#n#1"
28	community centre	amenity	community_centre	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcommunity_centre	"center#n#3,community#n#1,amenity#n#1"
29	continent	place	continent	http://wiki.openstreetmap.org/wiki/Tag:place%3Dcontinent	"continent#n#1,place#n#1"
30	corporate office	office	company	http://wiki.openstreetmap.org/wiki/Tag:office%3Dcompany	"office#n#1,corporation#n#1"
31	cycling facility	sport	cycling	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dcycling	"cycling#n#1,sport#n#1"
32	dock	waterway	dock	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Ddock	"dock#n#3,waterway#n#1"
33	fashion shop	clothes	fashion	http://wiki.openstreetmap.org/wiki/Tag:clothes%3Dfashion	"fashion#n#4,shop#n#1"
34	fire station	amenity	fire_station	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfire_station	"fire station#n#1,amenity#n#1"
35	floodplain	natural	floodplain	http://wiki.openstreetmap.org/wiki/Proposed_features/floodplain	"floodplain#n#1,nature#n#3"
36	"football,soccer, baseball pitch/field"	leisure	pitch	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpitch	"pitch#n#7,leisure#n#1"
37	gate	barrier	gate	http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dgate	"gate#n#1,barrier#n#1"
38	glacier	natural	glacier	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dglacier	"glacier#n#1,nature#n#3"
39	greengrocer	shop	greengrocer	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dgreengrocer	"greengrocer#n#1,shop#n#1"
40	"heritage item,area"	historic	heritage	http://wiki.openstreetmap.org/wiki/Proposed_features/heritage	"heritage#n#1,history#n#3"
41	"hilltop, mountaintop"	natural	peak	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dpeak	"peak#n#4,nature#n#3"
42	historic battlefield	historic	battlefield	http://wiki.openstreetmap.org/wiki/Tag:historic%3Dbattlefield	"battlefield#n#1,history#n#3"
43	historic castle	historic	castle	http://wiki.openstreetmap.org/wiki/Tag:historic%3Dcastle	"castle#n#2,history#n#3"
44	historic ruins	historic	ruins	http://wiki.openstreetmap.org/wiki/Tag:historic%3Druins	"ruin#n#2,history#n#3"
45	hotel	tourism	hotel	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dhotel	"hotel#n#1,tourism#n#1"
46	hunting shop	shop	hunting	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dhunting	"hunting#n#1,shop#n#1"
47	industrial landuse	landuse	industrial	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dindustrial	"industrial park#n#1,industry#n#1"
48	interior decoration shop	shop	interior_decoration	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dinterior_decoration	"shop#n#1,interior_decoration#n#1"
49	island	place	island	http://wiki.openstreetmap.org/wiki/Tag:place%3Disland	"island#n#1,place#n#1"
50	landfill	landuse	landfill	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dlandfill	landfill#n#1
