id	expertise	gender	continent	lang	QA-pairs [1]	QA-pairs [2]	QA-pairs [3]	QA-pairs [4]	QA-pairs [5]	QA-pairs [6]	QA-pairs [7]	QA-pairs [8]	QA-pairs [9]	QA-pairs [10]	QA-pairs [11]	QA-pairs [12]	QA-pairs [13]	QA-pairs [14]	QA-pairs [15]	QA-pairs [16]	QA-pairs [17]	QA-pairs [18]	QA-pairs [19]	QA-pairs [20]	QA-pairs [21]	QA-pairs [22]	QA-pairs [23]	QA-pairs [24]	QA-pairs [25]	QA-pairs [26]	QA-pairs [27]	QA-pairs [28]	QA-pairs [29]	QA-pairs [30]	QA-pairs [31]	QA-pairs [32]	QA-pairs [33]	QA-pairs [34]	QA-pairs [35]	QA-pairs [36]	QA-pairs [37]	QA-pairs [38]	QA-pairs [39]	QA-pairs [40]	QA-pairs [41]	QA-pairs [42]	QA-pairs [43]	QA-pairs [44]	QA-pairs [45]	QA-pairs [46]	QA-pairs [47]	QA-pairs [48]	QA-pairs [49]	QA-pairs [50]	age
15	Expert	Male	Europe	Yes	5. very similar	5. very similar	1. very dissimilar	5. very similar	4	4	4	3	1. very dissimilar	5. very similar	3	3	3	1. very dissimilar	1. very dissimilar	2	2	5. very similar	3	1. very dissimilar	3	5. very similar	5. very similar	4	1. very dissimilar	2	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	5. very similar	1. very dissimilar	3	5. very similar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	2	5. very similar	2	2	5. very similar	2	5. very similar	4	3	2	26-35
16	Never used	Female	Europe	Yes	5. very similar	3	3	5. very similar	3	4	4	4	1. very dissimilar	5. very similar	5. very similar	5. very similar	4	5. very similar	3	2	3	2	4	1. very dissimilar	3	5. very similar	3	2	1. very dissimilar	4	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	5. very similar	1. very dissimilar	3	5. very similar	4	3	4	2	1. very dissimilar	5. very similar	2	2	5. very similar	2	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	26-35
17	Occasional user	Female	Europe	No	3	4	2	4	no answer	2	4	4	1. very dissimilar	3	no answer	1. very dissimilar	3	3	2	no answer	2	2	4	2	2	5. very similar	3	no answer	3	5. very similar	5. very similar	1. very dissimilar	2	3	4	1. very dissimilar	3	1. very dissimilar	2	5. very similar	2	2	4	3	no answer	4	2	1. very dissimilar	3	2	2	4	2	2	26-35
18	Occasional user	Female	Europe	Yes	5. very similar	1. very dissimilar	3	4	1. very dissimilar	1. very dissimilar	4	5. very similar	1. very dissimilar	2	1. very dissimilar	2	5. very similar	1. very dissimilar	2	3	1. very dissimilar	5. very similar	4	1. very dissimilar	5. very similar	5. very similar	5. very similar	4	1. very dissimilar	5. very similar	5. very similar	2	1. very dissimilar	2	2	4	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	3	1. very dissimilar	1. very dissimilar	3	4	4	1. very dissimilar	4	4	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	56-65
19	Frequent user	Male	Europe	Yes	1. very dissimilar	3	1. very dissimilar	4	4	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	5. very similar	4	4	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	4	5. very similar	1. very dissimilar	5. very similar	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	4	5. very similar	2	1. very dissimilar	3	1. very dissimilar	5. very similar	4	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	3	1. very dissimilar	1. very dissimilar	3	5. very similar	5. very similar	1. very dissimilar	5. very similar	4	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	36-45
20	Never used	Male	Europe	Yes	5. very similar	5. very similar	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	5. very similar	5. very similar	2	4	3	4	4	2	1. very dissimilar	1. very dissimilar	2	5. very similar	5. very similar	1. very dissimilar	2	3	5. very similar	5. very similar	3	4	5. very similar	2	1. very dissimilar	3	2	3	4	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	3	2	1. very dissimilar	4	5. very similar	3	1. very dissimilar	5. very similar	5. very similar	2	5. very similar	1. very dissimilar	1. very dissimilar	26-35
21	Frequent user	Male	Europe	Yes	3	2	1. very dissimilar	4	2	1. very dissimilar	4	5. very similar	1. very dissimilar	2	2	2	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	2	1. very dissimilar	2	4	4	2	1. very dissimilar	3	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	4	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	5. very similar	2	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	46-55
22	Expert	Male	Europe	Yes	2	3	1. very dissimilar	3	5. very similar	1. very dissimilar	4	4	1. very dissimilar	3	2	3	4	3	2	1. very dissimilar	2	4	4	1. very dissimilar	2	3	3	4	2	3	5. very similar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	2	4	1. very dissimilar	3	4	3	1. very dissimilar	4	3	4	4	3	1. very dissimilar	5. very similar	2	2	5. very similar	1. very dissimilar	1. very dissimilar	18-25
23	Expert	Male	Europe	Yes	4	3	3	3	2	1. very dissimilar	4	4	2	3	2	2	5. very similar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	3	2	2	4	3	2	1. very dissimilar	3	5. very similar	1. very dissimilar	1. very dissimilar	2	2	3	4	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	3	2	3	4	1. very dissimilar	1. very dissimilar	5. very similar	2	2	4	1. very dissimilar	1. very dissimilar	26-35
24	Frequent user	Male	Europe	Yes	3	2	1. very dissimilar	4	2	1. very dissimilar	3	3	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	1. very dissimilar	3	4	2	1. very dissimilar	3	5. very similar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	2	1. very dissimilar	2	3	3	1. very dissimilar	4	4	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	26-35
