REVIEW_ID	FEATURE	HUMAN_50	HUMAN_51	HUMAN_52	HUMAN_53	HUMAN_54	HUMAN_55	HUMAN_56	HUMAN_57	HUMAN_58	HUMAN_59	HUMAN_60	HUMAN_61	HUMAN_1	HUMAN_1	HUMAN_1	HUMAN_1	HUMAN_1	HUMAN_1	HUMAN_1	HUMAN_1	HUMAN_1	 	System
Rev1a - feature1	room	0.5	0.5	1	NA	0.5	0.5	NA	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	1	0.5		0.43750
Rev1a - feature2	location	0.5	-0.5	1	-1	0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-1	-0.5	-0.5	-0.5	-0.5	0.5	-0.5	-0.5	-0.5	-0.5		-0.12750
Rev1a - feature3	pool	NA	-0.5	NA	NA	0.5	NA	NA	0.5	-0.5	NA	0.5	NA	NA	NA	NA	NA	1	NA	NA	0.5	NA		-0.37500
Rev2a - feature1	staff	1	0.5	1	0.5	0.5	1	1	1	1	1	1	1	1	1	1	1	1	0.5	0.5	1	0.5		0.45313
Rev2a - feature2	hotel	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		0.62500
Rev2a - feature3	room	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1		0.38184
Rev3a - feature1	view	0.5	0.5	0.5	0.5	-0.5	0.5	0.5	0.5	0.5	-0.5	0.5	1	1	0.5	1	1	-0.5	-0.5	-0.5	0.5	1		0.43750
Rev3a - feature2	bathroom	NA	NA	NA	NA	NA	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	NA	NA	-0.5	-0.5	NA	NA	-0.5	-0.5	-0.5		NA
Rev3a - feature3	room	-0.5	-0.5	-1	-0.5	-0.5	-1	-1	-0.5	-1	-0.5	-1	-0.5	-0.5	-1	-0.5	-0.5	-0.5	-1	-1	-1	-1		-0.37500
Rev4a - feature1	internet	0.5	0.5	1	1	1	1	1	0.5	1	0.5	1	1	1	1	1	0.5	1	1	0.5	1	1		0.25000
Rev4a - feature2	shower	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA
Rev4a - feature3	room	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	1	0.5	1	1	0.5	NA	0.5	1	0.5	NA	0.5	0.5	NA		0.12500
Rev5a - feature1	staff	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	1	NA	0.5	NA	NA	0.5	0.5	0.5	1	0.5	0.5	1	0.5		0.33464
Rev5a - feature2	breakfast	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA
Rev6a - feature1	service	1	0.5	1	0.5	0.5	NA	0.5	1	1	1	1	NA	NA	1	1	0.5	NA	1	0.5	1	1		0.12500
Rev6a - feature2	room	0.5	0.5	0.5	1	0.5	1	1	1	0.5	1	1	-1	0.5	1	1	0.5	0.5	1	1	1	0.5		0.65234
Rev6a - feature3	internet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA
rev7common - feature1	bed	1	1	0.5	1	0.5	1	0.5	NA	1	0.5	1	NA	0.5	1	1	1	1	NA	NA	1	1		0.85938
rev7common - feature2	room	0.5	0.5	1	1	0.5	1	1	1	1	0.5	1	1	1	1	1	0.5	1	1	0.5	1	1		0.17327
rev7common - feature3	restaurant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA
GENDER		M	M	F	M	M	F	M	F	F	F	F	M	M	M	M	F	F	M	M	F	M		-
NATIVE_ENGLISH_SPEAKER		N	N	Y	N	N	Y	Y	Y	Y	N	N	N	N	Y	Y	N	Y	N	Y	Y	N		-
