REVIEW_ID	FEATURE	HUMAN 1	HUMAN 2	HUMAN 3	HUMAN 4	HUMAN 5	HUMAN 6	HUMAN 7	HUMAN 8	HUMAN 9	HUMAN 10	HUMAN 11	HUMAN 12	HUMAN 13	HUMAN 14	HUMAN 15	HUMAN 16	HUMAN 17	HUMAN 18	 	SYSTEM
Rev1b - feature1	staff	1	NA	NA	-1	-1	-1	-1	-0.5	-1	-1	-1	-0.5	-0.5	-0.5	NA	-0.5	-1	-0.5		-0.875000
Rev1b - feature2	bed	-0.5	0.5	NA	-1	-1	-0.5	-0.5	-0.5	-0.5	-1	-0.5	-1	-0.5	-0.5	-1	-0.5	-1	-1		-0.750000
rev2b - feature1	staff	1	1	1	1	0.5	1	1	0.5	1	1	0.5	0.5	1	0.5	0.5	1	1	1		0.312500
rev2b - feature2	internet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA
rev2b - feature3	room	0.5	-0.5	0.5	0.5	-0.5	0.5	0.5	NA	0.5	-0.5	0.5	NA	0.5	0.5	0.5	0.5	0.5	0.5		-0.083333
rev3b - feature1	parking	0.5	-1	-0.5	-0.5	-0.5	-1	1	NA	0.5	-0.5	0.5	0.5	-0.5	-0.5	-1	0.5	0.5	0.5		-0.500000
rev3b - feature2	service	1	1	-0.5	1	1	0.5	1	1	1	1	1	1	1	NA	0.5	1	1	1		0.437500
rev3b - feature3	internet	0.5	0.5	NA	1	NA	-0.5	NA	0.5	1	0.5	1	NA	0.5	NA	0.5	0.5	0.5	0.5		0.375000
rev3b - feature4	room	0.5	-0.5	-0.5	0.5	-0.5	-0.5	-0.5	NA	0.5	0.5	-0.5	0.5	0.5	0.5	0.5	0.5	-0.5	1		0.000100
rev4b - feature1	restaurant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA
rev4b - feature2	price	NA	0.5	NA	1	0.5	0.5	1	1	1	1	0.5	NA	0.5	NA	NA	1	NA	1		0.546875
rev4b - feature3	room	1	1	1	1	NA	1	1	1	1	1	1	0.5	1	0.5	1	0.5	1	1		0.250000
rev5b - feature1	staff	1	0.5	0.5	1	0.5	1	1	0.5	1	1	0.5	1	0.5	0.5	1	1	1	1		0.312500
rev5b - feature2	bed	0.5	1	1	1	NA	0.5	1	1	1	1	1	1	0.5	NA	1	1	1	1		0.312500
rev6b - feature1	service	1	1	0.5	1	NA	NA	1	1	0.5	1	-0.5	1	0.5	0.5	1	1	NA	1		0.125000
rev6b - feature2	room	1	1	1	1	1	1	1	1	1	0.5	1	1	0.5	0.5	0.5	1	1	1		0.218750
rev6b - feature3	internet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA
rev7common - feature1	bed	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1		NA
rev7common - feature2	room	1	1	0.5	1	1	NA	1	1	1	0.5	1	1	1	1	0.5	1	1	1		0.742188
rev7common - feature3	hotel	0.5	-0.5	NA	1	1	0.5	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	1		0.326172
GENDER		F	F	M	F	M	M	M	M	F	M	F	F	M	M	M	F	M	F		-
NATIVE_ENGLISH_SPEAKER		N	N	N	Y	N	Y	N	Y	N	N	Y	Y	Y	Y	Y	N	N	Y		-
